WAVEHEIGHT,WAVEDFROM,WAVEPERIOD,LAT,LNG,TIME,SEANAME,RISK,CELLSYSID
3,东北,6.5,19.25,118.75,2020-3-6 14:00,南海中东部,30,484
3,东北,6.4,19.25,119.25,2020-3-6 14:00,南海中东部,30,485
0.6,东东北,3.9,18.75,106.25,2020-3-6 14:00,北部湾,4.8,486
0.5,南西南,2.7,39.25,121.75,2020-3-6 14:00,渤海,4,28
0.7,南,3.2,39.25,122.25,2020-3-6 14:00,黄海北部,5.6,29
0.8,南,3.4,39.25,122.75,2020-3-6 14:00,黄海北部,6.4,30
0.8,南西南,3,37.25,123.75,2020-3-6 14:00,黄海北部,6.4,76
0.7,南,3,36.75,121.25,2020-3-6 14:00,黄海中部,5.6,77
0.7,南西南,3.1,36.75,121.75,2020-3-6 14:00,黄海中部,5.6,78
0.9,南东南,3.3,34.25,121.25,2020-3-6 14:00,射阳近岸海域,7.2,121
0.9,南东南,3.2,34.25,121.75,2020-3-6 14:00,黄海南部,7.2,122
0.8,南,3,34.25,122.25,2020-3-6 14:00,黄海南部,6.4,123
0.6,东南,2.7,31.25,121.75,2020-3-6 14:00,浦东近岸海域,4.8,167
0.8,东东南,3.2,31.25,122.25,2020-3-6 14:00,浦东近岸海域,6.4,168
0.9,东东北,5.4,28.25,122.25,2020-3-6 14:00,大陈近岸海域,7.2,211
1.1,东北,5.5,28.25,122.75,2020-3-6 14:00,东海西南部,8.8,212
1.1,东北,5.8,28.25,123.25,2020-3-6 14:00,东海西南部,8.8,213
1.4,东东北,5.4,25.75,120.75,2020-3-6 14:00,台湾海峡,11.2,256
1.5,东东北,5.5,25.75,121.25,2020-3-6 14:00,东海西南部,12,257
1.5,东北,5.7,25.75,121.75,2020-3-6 14:00,东海西南部,12,258
1.5,东北,5,23.25,117.75,2020-3-6 14:00,东山县近岸海域,12,302
1.5,东北,5.1,23.25,118.25,2020-3-6 14:00,台湾海峡,12,303
2,东,6,21.75,114.75,2020-3-6 14:00,南海东北部,16,346
2.1,东,6,21.75,115.25,2020-3-6 14:00,南海东北部,16.8,347
2.1,东东北,6,21.75,115.75,2020-3-6 14:00,南海东北部,16.8,348
2.1,东东北,6,21.75,116.25,2020-3-6 14:00,南海东北部,16.8,349
0.6,东东南,3.1,20.75,110.25,2020-3-6 14:00,南海西北部,4.8,392
1.5,东,5.3,20.75,110.75,2020-3-6 14:00,南海西北部,12,393
1.8,东,5.8,20.75,111.25,2020-3-6 14:00,南海西北部,14.4,394
2,东,6,20.75,111.75,2020-3-6 14:00,南海西北部,16,395
2.8,东东北,6.2,20.25,119.75,2020-3-6 14:00,南海东北部,26,438
0.5,东,3.9,19.75,106.25,2020-3-6 14:00,北部湾,4,439
0.5,东东北,3.4,19.75,106.75,2020-3-6 14:00,北部湾,4,440
0.7,东东北,3.7,18.75,106.75,2020-3-6 14:00,北部湾,5.6,487
0.8,东,3.9,18.75,107.25,2020-3-6 14:00,北部湾,6.4,488
1,南西南,3.7,39.25,123.25,2020-3-6 14:00,黄海北部,8,31
1.1,南西南,3.9,39.25,123.75,2020-3-6 14:00,黄海北部,8.8,32
1.1,西南,4,39.25,124.25,2020-3-6 14:00,黄海北部,8.8,33
0.8,南西南,3.1,36.75,122.25,2020-3-6 14:00,黄海中部,6.4,79
0.8,南西南,3.1,36.75,122.75,2020-3-6 14:00,黄海中部,6.4,80
0.6,南东南,2.8,34.25,122.75,2020-3-6 14:00,黄海南部,4.8,124
0.5,东东南,2.8,34.25,123.25,2020-3-6 14:00,黄海南部,4,125
0.9,东东北,3.9,31.25,122.75,2020-3-6 14:00,长江口外近岸海域,7.2,169
0.9,东东北,4.1,31.25,123.25,2020-3-6 14:00,长江口外近岸海域,7.2,170
0.8,东北,4.4,31.25,123.75,2020-3-6 14:00,东海西北部,6.4,171
1.2,东北,5.8,28.25,123.75,2020-3-6 14:00,东海西南部,9.6,214
1.2,北东北,5.9,28.25,124.25,2020-3-6 14:00,东海西南部,9.6,215
1.2,北东北,5.8,28.25,124.75,2020-3-6 14:00,东海西南部,9.6,216
1.6,东北,5.9,25.75,122.25,2020-3-6 14:00,东海西南部,12.8,259
1.6,东北,6.1,25.75,122.75,2020-3-6 14:00,东海西南部,12.8,260
1.5,东北,6.2,25.75,123.25,2020-3-6 14:00,台湾以东洋面,12,261
1.5,北东北,5,23.25,118.75,2020-3-6 14:00,台湾海峡,12,304
1.1,北东北,4.2,23.25,119.25,2020-3-6 14:00,台湾海峡,8.8,305
1,北东北,4.3,23.25,119.75,2020-3-6 14:00,台湾海峡,8,306
2.1,东东北,6,21.75,116.75,2020-3-6 14:00,南海东北部,16.8,350
2.1,东东北,5.9,21.75,117.25,2020-3-6 14:00,南海东北部,16.8,351
2,东东北,5.8,21.75,117.75,2020-3-6 14:00,南海东北部,16,352
2.1,东,6.1,20.75,112.25,2020-3-6 14:00,南海西北部,16.8,396
2.2,东,6.3,20.75,112.75,2020-3-6 14:00,南海西北部,17.6,397
2.2,东,6.4,20.75,113.25,2020-3-6 14:00,南海西北部,17.6,398
0.5,东东北,3.6,19.75,107.25,2020-3-6 14:00,北部湾,4,441
0.6,东,3.2,19.75,107.75,2020-3-6 14:00,北部湾,4.8,442
0.4,东东北,3.7,19.75,108.25,2020-3-6 14:00,北部湾,3.2,443
0.5,南东南,2.6,38.75,117.75,2020-3-6 14:00,渤海,4,34
0.6,东南,3.2,38.75,118.25,2020-3-6 14:00,渤海,4.8,35
0.9,南东南,3.8,38.75,118.75,2020-3-6 14:00,渤海,7.2,36
0.8,西南,3,36.75,123.25,2020-3-6 14:00,黄海中部,6.4,81
0.7,西南,2.8,36.75,123.75,2020-3-6 14:00,黄海中部,5.6,82
0.6,南,2.7,36.25,120.75,2020-3-6 14:00,黄海中部,4.8,83
0.4,东北,3.1,34.25,123.75,2020-3-6 14:00,黄海南部,3.2,126
0.9,东南,3.2,33.75,120.75,2020-3-6 14:00,射阳近岸海域,7.2,127
0.9,东南,3.1,33.75,121.25,2020-3-6 14:00,射阳近岸海域,7.2,128
0.9,南东南,3.2,33.75,121.75,2020-3-6 14:00,亭湖近岸海域,7.2,129
0.8,北东北,4.8,31.25,124.25,2020-3-6 14:00,东海西北部,6.4,172
0.8,北东北,5.2,31.25,124.75,2020-3-6 14:00,东海西北部,6.4,173
0.6,东东南,2.6,30.75,121.25,2020-3-6 14:00,奉贤近岸海域,4.8,174
0,东,1.7,27.75,120.75,2020-3-6 14:00,乐清湾,0,217
0.7,东,5.6,27.75,121.25,2020-3-6 14:00,玉环近岸海域,5.6,218
0.9,东,5.7,27.75,121.75,2020-3-6 14:00,玉环近岸海域,7.2,219
1.6,东北,6.5,25.75,123.75,2020-3-6 14:00,台湾以东洋面,12.8,262
0.6,东东北,2.8,25.25,119.25,2020-3-6 14:00,兴化湾,4.8,263
0.9,东东北,4,25.25,119.75,2020-3-6 14:00,兴化湾,7.2,264
2.2,东东北,7.2,23.25,121.75,2020-3-6 14:00,台湾以东洋面,17.6,307
2.3,东东北,6.9,23.25,122.25,2020-3-6 14:00,台湾以东洋面,18.4,308
2.3,东东北,6.7,23.25,122.75,2020-3-6 14:00,台湾以东洋面,18.4,309
1.9,东东北,5.8,21.75,118.25,2020-3-6 14:00,南海东北部,15.2,353
1.8,东东北,5.8,21.75,118.75,2020-3-6 14:00,南海东北部,14.4,354
1.8,东东北,5.9,21.75,119.25,2020-3-6 14:00,南海东北部,14.4,355
2.3,东,6.5,20.75,113.75,2020-3-6 14:00,南海西北部,18.4,399
2.3,东东北,6.5,20.75,114.25,2020-3-6 14:00,南海西北部,18.4,400
0.3,东北,3,19.75,108.75,2020-3-6 14:00,北部湾,2.4,444
0.1,北西北,1.2,19.75,109.25,2020-3-6 14:00,北部湾,0.8,445
2.1,东,6.4,19.75,111.25,2020-3-6 14:00,南海西北部,16.8,446
1.3,南,4,38.75,119.25,2020-3-6 14:00,渤海,10.4,37
1.4,南,4,38.75,119.75,2020-3-6 14:00,渤海,11.2,38
1.3,南西南,4,38.75,120.25,2020-3-6 14:00,渤海,10.4,39
0.8,南西南,3.2,36.25,121.25,2020-3-6 14:00,黄海中部,6.4,84
0.8,南西南,3.2,36.25,121.75,2020-3-6 14:00,黄海中部,6.4,85
0.8,南东南,3.1,33.75,122.25,2020-3-6 14:00,黄海南部,6.4,130
0.6,东南,3,33.75,122.75,2020-3-6 14:00,黄海南部,4.8,131
0.5,东,3,33.75,123.25,2020-3-6 14:00,黄海南部,4,132
0.7,东南,2.8,30.75,121.75,2020-3-6 14:00,浦东近岸海域,5.6,175
0.7,东南,2.8,30.75,122.25,2020-3-6 14:00,崇明近岸海域,5.6,176
0.5,东东南,2.8,30.75,122.75,2020-3-6 14:00,长江口外近岸海域,4,177
1,东东北,5.6,27.75,122.25,2020-3-6 14:00,东海西南部,8,220
1.2,东北,5.7,27.75,122.75,2020-3-6 14:00,东海西南部,9.6,221
1.5,东北,5.2,25.25,120.25,2020-3-6 14:00,平潭近岸海域,12,265
1.5,东北,5.3,25.25,120.75,2020-3-6 14:00,台湾海峡,12,266
0.7,东南,4,22.75,115.25,2020-3-6 14:00,南海东北部,5.6,310
0.8,东东南,3.9,22.75,115.75,2020-3-6 14:00,南海东北部,6.4,311
1.4,东,4.9,22.75,116.25,2020-3-6 14:00,南海东北部,11.2,312
1.7,东东北,6,21.75,119.75,2020-3-6 14:00,台湾海峡,13.6,356
1.7,东,6.1,21.75,120.25,2020-3-6 14:00,台湾海峡,13.6,357
2.4,东东北,6.5,20.75,114.75,2020-3-6 14:00,南海东北部,19.2,401
2.4,东东北,6.5,20.75,115.25,2020-3-6 14:00,南海东北部,19.2,402
2.4,东东北,6.5,20.75,115.75,2020-3-6 14:00,南海东北部,19.2,403
2.4,东东北,6.5,20.75,116.25,2020-3-6 14:00,南海东北部,19.2,404
2.3,东,6.5,19.75,111.75,2020-3-6 14:00,南海西北部,18.4,447
2.4,东,6.6,19.75,112.25,2020-3-6 14:00,南海西北部,19.2,448
2.5,东,6.7,19.75,112.75,2020-3-6 14:00,南海西北部,20,449
1.2,南西南,4.1,38.75,120.75,2020-3-6 14:00,渤海,9.6,40
0.8,南,3.8,38.75,121.25,2020-3-6 14:00,渤海,6.4,41
1.1,南西南,3.9,38.75,121.75,2020-3-6 14:00,黄海北部,8.8,42
0.8,南西南,3.2,36.25,122.25,2020-3-6 14:00,黄海中部,6.4,86
0.8,南西南,3,36.25,122.75,2020-3-6 14:00,黄海中部,6.4,87
0.7,南西南,2.8,36.25,123.25,2020-3-6 14:00,黄海中部,5.6,88
0.5,东北,3.3,33.75,123.75,2020-3-6 14:00,黄海南部,4,133
0.4,北,4,33.75,124.25,2020-3-6 14:00,黄海南部,3.2,134
0.4,北,4.4,33.75,124.75,2020-3-6 14:00,黄海南部,3.2,135
0.9,东东北,4.3,30.75,123.25,2020-3-6 14:00,长江口外近岸海域,7.2,178
0.9,东北,4.7,30.75,123.75,2020-3-6 14:00,东海西北部,7.2,179
1.2,东北,5.8,27.75,123.25,2020-3-6 14:00,东海西南部,9.6,222
1.2,东北,5.9,27.75,123.75,2020-3-6 14:00,东海西南部,9.6,223
1.2,北东北,5.9,27.75,124.25,2020-3-6 14:00,东海西南部,9.6,224
1.3,北东北,5.9,27.75,124.75,2020-3-6 14:00,东海西南部,10.4,225
1.4,东北,5.3,25.25,121.25,2020-3-6 14:00,东海西南部,11.2,267
1.5,东东北,5.7,25.25,121.75,2020-3-6 14:00,东海西南部,12,268
1.6,东北,6,25.25,122.25,2020-3-6 14:00,台湾以东洋面,12.8,269
1.6,东北,6.2,25.25,122.75,2020-3-6 14:00,台湾以东洋面,12.8,270
1.6,东东北,5.1,22.75,116.75,2020-3-6 14:00,南海东北部,12.8,313
1.6,东东北,5.1,22.75,117.25,2020-3-6 14:00,南海东北部,12.8,314
2,东东北,5.8,21.75,120.75,2020-3-6 14:00,台湾海峡,16,358
2.1,东东北,6.5,21.75,121.25,2020-3-6 14:00,台湾以东洋面,16.8,359
2.4,东东北,6.9,21.75,121.75,2020-3-6 14:00,台湾以东洋面,19.2,360
0.9,东南,3.5,21.25,108.25,2020-3-6 14:00,北部湾,7.2,361
